ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags,Language
9781481438391.0,fuddles and puddles,frans vischer,nan,[],nan,english
9781534452695.0,"glad,glad bear!",kimberly gee,"bear is very, very, very glad today! he’s taking his first ballet class.
but he’s a little nervous too. this sweet and silly picture book is an
honest exploration of feelings that little ones—and grown-ups!—are sure to
relate to. bear is so excited that today is dance day! he has his new
leggings, slippers, and tutu, and he is ready to go. but when he gets
there, he feels a little shy, a little unsure, and even a little afraid.
what can make him feel better? dancing, of course! this charming companion
to mad, mad bear is a celebration of how stepping out and doing the things
we love makes us feel happy…even if we are a little apprehensive at first!",[],"[['gender', 'roles', 'specific activities']]",nan
9780525554776.0,goodnight bubbala,sheryl haft,nan,[],"[['culture', 'foods', 'traditions'], ['multilingual text', 'yiddish', 'code-switching'], ['parody:parody'], ['language:word learning']]","english, yiddish"
9780064430173.0,goodnight moon,margaret wise brown,"in a great green room, tucked away in bed, is a little bunny. ""goodnight
room, goodnight moon."" and to all the familiar things in the softly lit
room—to the picture of the three little bears sitting in chairs, to the
clocks and his socks, to the mittens and the kittens, to everything one by
one—he says goodnight. in this classic of modern children's literature,
beloved by generations of readers and listeners, the quiet poetry of the
words and the gentle, lulling illustrations combine to make a perfect book
for the end of the day.",['repetitive phrases'],nan,english
9781684373505.0,"grace banker and her hello girls,answer the call",claudia friddell,"led by twenty-five-year-old grace banker, thirty-two telephone operators —
affectionately called ""hello girls"" back in the us — became the first
female combatants in world war i. follow grace banker's journey from her
busy life as a telephone switchboard trainer in new york to her pioneering
role as the chief operator of the 1st unit of world war i telephone
operators in the battlefields of france. with expert skill, steady nerves,
and steadfast loyalty, the signal corps operators transferred orders from
commanders to battlefields and communicated top-secret messages between
american and french headquarters. after faithfully serving her country
—undaunted by freezing weather and fires; long hours and little sleep, and
nearby shellings and far off explosions — grace was the first and only
woman operator in the signal corps to be awarded the army's distinguished
service medal.",[],nan,nan
9780802787606.0,grandmas records,eric velasquez,"every summer, eric goes to live with his grandmother in el barrio (spanish
harlem) while his parents work. through the long hot days, grandma fills
her apartment with the blaring horns and conga drums of bomba y plena,
salsa, and merengue-the music she grew up with in puerto rico-sharing her
memories and passions with eric. but eric sees grandma in a new light when
she gets them tickets to hear their favorite band in concert. the music
sounds so different than it does at home on their scratchy records. and
then the lead singer serenades grandma right in front of the whole
audience! join eric velasquez on a magical journey through time and across
cultures, as a young boy's passion for music and art is forged by a
powerful bond between generations.",[],nan,no language given
9780525553366.0,hair love,matthew a. cherry,"a new york times bestseller and tie-in to academy-award winning short film
""hair love"" ""i love that hair love is highlighting the relationship between
a black father and daughter. matthew leads the ranks of new creatives who
are telling unique stories of the black experience. we need this."" - jordan
peele, actor & filmmaker it's up to daddy to give his daughter an extra-
special hair style in this ode to self-confidence and the love between
fathers and daughters, from academy-award winning director and former nfl
wide receiver matthew a. cherry and new york times bestselling illustrator
vashti harrison. zuri's hair has a mind of its own. it kinks, coils, and
curls every which way. zuri knows it's beautiful. when daddy steps in to
style it for an extra special occasion, he has a lot to learn. but he loves
his zuri, and he'll do anything to make her -- and her hair -- happy.
tender and empowering, hair love is an ode to loving your natural hair --
and a celebration of daddies and daughters everywhere. a perfect gift for
special occasions including father’s day, birthdays, baby showers, and
more!",[],"[['family'], ['self-acceptance'], ['culture:identity'], ['racial style:racial style'], ['breaking norms:breaking norms'], ['persistence:persistence']]",english
9781442406049.0,hanukkah hop!,erica silverman,nan,[],nan,english
9780763670023.0,happy in our skin,fran manushkin,nan,[],"[['self-love'], ['(dis)ability:diversity'], ['function of the skin:function of the skin']]",english
9781770460607.0,hark! a vagrant,kate beaton,"featured on more than twenty best-of lists, including time, amazon, e! and
publishers weekly! hark! a vagrant is an uproarious romp through history
and literature seen through the sharp, contemporary lens of new yorker
cartoonist and comics sensation kate beaton. no era or tome emerges
unscathed as beaton rightly skewers the western world's revolutionaries,
leaders, sycophants, and suffragists while equally honing her wit on the
hapless heroes, heroines, and villains of the best-loved fiction. she
deftly points out what really happened when brahms fell asleep listening to
liszt, that the world's first hipsters were obviously the incroyables and
the merveilleuses from eighteenth-century france, that susan b. anthony is,
of course, a ""samantha,"" and that the polite banality of canadian culture
never gets old. hark! a vagrant features sexy batman, the true stories
behind classic nancy drew covers, and queen elizabeth doing the albatross.
as the 500,000 unique monthly visitors to harkavagrant.com already know, no
one turns the ironic absurdities of history and literature into comedic
fodder as hilariously as beaton.",[],nan,english
9780064430227.0,harold and the purple crayon,crockett johnson,nan,"['adventure', 'daily tasks/activities/routines', 'critical thinking/problem-solving', 'anxiety/fear']","[['cognition', 'reasoning and decision making skills'], ['perception', 'use of color'], ['cognition:creative thinking/solutions'], ['language:adjectives'], ['perception:relative size'], ['perception:texture gradient'], ['creativity:creativity'], ['internal motivation to learn:internal motivation to learn'], ['creativity:creativity'], ['cognition:executive function'], ['imagination:imagination'], ['cognition:making decisions']]",english
9780761457138.0,hero dad,melinda hardin,"a child demonstrates that while dad differs from a traditional superhero,
as an american soldier he is a superhero of a different kind.",[],"[['family', 'structures'], ['military:military'], ['family:military families'], ['heroism:heroism']]",english
9780735264496.0,ho'onani hula warrior,heather gale,nan,[],"[['multilingual text', 'code-switching'], ['family', 'relationships'], ['language', 'development', 'alliteration'], ['gender', 'binary', 'spectrum'], ['culture', 'traditions', 'sense of culture'], ['perception', 'spotlight effect'], ['self-concept'], ['self-confidence'], ['gender:norms'], ['language:rhyming'], ['support:support'], ['different:sociocultural differences']]","english, hawaiian"
9781949002263.0,honk honk goose,april pulley sayre,nan,[],nan,english
9780439569842.0,how do dinosaurs learn to read?,jane yolen & mark teague,"describes how a little dinosaur learn to read, using the toys and other
things around him.","['managing of', 'encouragement to reread', 'determination', 'perseverance']","[['language', 'rhyming', 'glossary', 'pronunciation guide'], ['cognition', 'cause and effect', 'deeper processing'], ['perception', 'motion', 'visual attention'], ['emotions', 'emotional recognition', 'anger'], ['language:word search'], ['language:alphabet'], ['language:learning the alphabet'], ['anthropomorphizing:anthropomorphizing'], ['inspiring children/students:inspiring children/students'], ['patience:patience']]",nan
9780545153539.0,how do dinosaurs say happy birthday?,jane yolen & mark teague,nan,['help others'],"[['social', 'sharing'], ['celebration:celebration'], ['celebration:birthday'], ['language:rhyming'], ['anthropomorphizing:anthropomorphizing'], ['selfishness:selfishness'], ['manners:manners'], ['social:kindness'], ['tutorial on manners:tutorial on manners']]",no language given
9780688040499.0,how much is a million?,david m. schwartz,"this book reveals how big a bowl would be needed to hold a million
goldfish, or how many years it would take to count to a million.",[],"[['language', 'descriptive'], ['math:number concepts'], ['perception:relative size'], ['perception:gestalt principles'], ['perception:motion perception'], ['family:time'], ['language:alliteration'], ['math:large number comprehension']]",english
9780593428399.0,how we say i love you,nicole chen,nan,[],"[['culture', 'customs', 'values'], ['multilingual text', 'mandarin chinese', 'code-switching'], ['taiwanese hokkien'], ['and english'], ['family', 'honoring elders'], ['language:word learning'], ['social:love languages'], ['social:showing love without using words']]","mandarin chinese, taiwanese hokkien, english"
9780063026926.0,hundred years of happiness,thanhha lai,nan,[],"[['family', 'generations', 'caring for each other'], ['culture'], ['memory', 'memory loss'], ['culture:memory'], ['perception:continuity'], ['perception:similarity'], ['aging:aging'], ['language:word learning']]","english, vietnamese"
9781250842053.0,i am golden,eva chen,"what do you see when you look in the mirror, mei? do you see beauty? we see
eyes that point toward the sun, that give us the warmth and joy of a
thousand rays when you smile. we see hair as inky black and smooth as a
peaceful night sky. we see skin brushed with gold. this joyful and lyrical
picture book from new york times-bestselling author eva chen is a moving
ode to the immigrant experience, as well as a manifesto of self-love for
chinese american children.",['perseverance'],"[['culture', 'heritage'], ['family', 'history'], ['self-concept'], ['different:embracing differences'], ['culture:identity'], ['names have meaning:names have meaning'], ['immigration:immigration'], ['social:isolation'], ['resilience:resilience'], ['celebration:celebration'], ['food:food'], ['multiculturalism:multiculturalism']]",english
9781939834096.0,i am living in 2 homes,garcelle beauvais and sebastian a. jones,nan,[],"[['family', 'activities', 'time', 'structures', 'relationships', 'caring for each other'], ['emotions', 'emotional regulation', 'anxiety', 'fear'], ['difficult topics:divorce'], ['family:love'], ['language:rhyming']]",english
9780711247451.0,i am not a label,cerrie burnell,"in this stylishly illustrated biography anthology, meet 30 artists,
thinkers, athletes, and activists with disabilities, from past and present.
from frida kahlo to stephen hawking, find out how these iconic figures have
overcome obstacles, owned their differences, and paved the way for others
by making their bodies and minds work for them. these short biographies
tell the stories of people who have faced unique challenges that have not
stopped them from becoming trailblazers, innovators, advocates, and makers.
each person is a leading figure in their field, be it sports, science,
math, art, breakdancing, or the world of pop. challenge your preconceptions
of disability and mental health with the eye-opening stories of these
remarkable people: ludwig van beethoven, gustav kirchoff, henri matisse,
eliza suggs, helen keller, frida kahlo, john nash, stephen hawking, temple
grandin, stevie wonder, nabil shaban, terry fox, peter dinklage, wanda diaz
merced, emmanuel ofosu yeboah, dr victor pineda, farida bedwei, stella
young, lady gaga, arunima sinha, naoki higashida, isabella spingmuhl
tejada, aaron philip, catalina devandas aguilar, redouan ait chitt, jonas
jacobsson, trischa zorn, ade adepitan, and nick jonas.",[],nan,no language given
9781338753882.0,i am ruby bridges,ruby bridges,"""when ruby bridges was six years old, she became the first african american
student to integrate an elementary school in the south. told in the
perspective of her six year old self and based on the pivotal events that
happened in 1960, ruby tells her story like never before. embracing her
name and learning that even at six years old she was able to pave the path
for future generations, this is a story full of hope, innocence, and
courage""--",[],"[['competition'], ['race:race'], ['difficult topics:racism'], ['culture:pride'], [""social:not wanting to hurt other people's feelings""], ['dream big/following dreams:dream big/following dreams']]",english
9798723622579.0,i am stronger than anxiety,elizabeth cole,nan,[],"[['language', 'rhyming'], ['emotions', 'anxiety', 'fear', 'managing emotions'], ['perception:motion']]",english
9780307105486.0,i can fly,ruth krauss,nan,[],"[['self-acceptance'], ['language:rhyming'], ['animal sounds:animal sounds'], ['self:being yourself']]",no language given
9780399160493.0,i hear a pickle,rachel isadora,"children explore their five senses, learning what they can see, smell,
hear, touch, and taste.",[],nan,no language given
9780547401638.0,i like myself,karen beaumont,"high on energy and imagination, this ode to self-esteem encourages kids to
appreciate everything about themselves--inside and out. messy hair? beaver
breath? so what here's a little girl who knows what really matters. at once
silly and serious, karen beaumont's joyous rhyming text and david catrow's
wild illustrations unite in a book that is sassy, soulful--and straight
from the heart.",[],"[['self-acceptance'], ['self-esteem'], ['uniqueness:uniqueness'], ['culture:identity'], ['language:rhyming'], ['perception:motion perception']]",english
9781452100043.0,i scream ice cream,amy krouse rosenthal,"uses colorful illustrations to demonstrate examples of ""wordles,"" or
wordplay phrases that sound alike but have different meanings, including ""i
see"" and ""icy,"" and ""i scream"" and ""ice cream.""","['managing of', 'cooperation/working together']","[['emotions', 'emotional regulation', 'empathy'], ['language', 'word play', 'word segmentation'], ['social', 'social skills'], ['resolution'], ['cognition:delayed gratification'], ['patience:patience'], ['language:communication'], ['conflict:conflict']]",english
9780763655983.0,i want my hat back,jon klassen,"a bear almost gives up his search for his missing hat until he remembers
something important, in a cumulative tale with a mischievous twist.",['help others'],nan,english
9781419703362.0,i'm gonna climb a mountain in my patent leather shoes,marilyn singer,nan,[],"[['family', 'activities', 'time'], ['different environments'], ['self-confidence'], ['self-expression'], ['language:rhyming'], ['leaving comfort zone:leaving comfort zone'], ['female empowerment:female empowerment'], ['family:sibling relationships'], ['imagination:imagination']]",english
9781250779960.0,i'm hungry tengo hambre,angela dominguez,"when a bluebird comes upon a dinosaur who's down in the dumps, he asks
what's wrong. ""¡tengo hambre!"" says the dinosaur. i'm hungry! does the
dinosaur want a banana? ""¿plátano? no."" fish? ""¿pescado? no, gracias.""
nothing seems to do the trick! what does dinosaur want to eat? this
delightful bilingual picture book is about finding just the right food--and
just the right friend.",['help others'],"[['multilingual text', 'spanish and english'], ['picky eaters'], ['language:word learning'], ['social:friendship'], ['cognition:making decisions']]","spanish, english"
9780593352373.0,"i'm not scared,you're scared",seth myers,"from the incomparable host of “late night with seth meyers” comes a
hilarious new picture book. when you're a bear who is easily scared, it's
hard to have friends. fortunately, bear has one: rabbit, who is very brave.
one day, rabbit urges bear to face his fears and embark on an adventure
together. however, things don't entirely go as planned, and the two friends
learn the true meaning of bravery. equal parts hilarious and touching, this
funny tale of adventure, bravery, and daring rescue will both inspire the
adventurous spirit in all of us and make us laugh along the way. with the
unfailingly witty voice of one of america's favorite comedians, seth
meyers's debut picture book is bound for hilarity history.",['anxiety/fear'],nan,nan
9780590402330.0,if you give a mouse a cookie,laura numeroff,"""if you give a mouse a cookie, he's going to ask for a glass of milk. when
you give him the milk, he'll probably ask you for a straw. . . "". so begins
this delightful story about an energetic mouse and an accommodating little
boy. full-color illustrations.","['help others', 'daily tasks/activities/routines']","[['social', 'standing up for yourself and others', 'learning to say no'], ['(dis)ability', 'adhd'], ['cognition:cause and effect'], ['perception:motion perception'], ['not finishing what you start:not finishing what you start']]",english
9780060266868.0,if you give a pig a pancake,laura numeroff,nan,"['help others', 'speaking up/standing up for yourself and others']","[['(dis)ability', 'adhd'], ['cognition:cause and effect'], ['perception:motion perception'], ['not finishing what you start:not finishing what you start'], ['social:learning to say no']]",english
9780061566349.0,if you're hoppy,april pulley sayre,"are you feeling hoppy? hop hop hop. like a rabbit? or a kangaroo? or a
frog? if the answer is yes, this book will make you happy. if the answer is
no, this book will make you hoppy and happy!",[],nan,english 
9781934133583.0,imani's moon,janay brown-wood,"a delightful mix of folklore and fantasy follows little imani as she works
up the courage and confidence in herself to achieve big things. little
imani is the smallest one in her village. the other children make fun of
her and tell her she's too tiny, that she's an ant, that a meerkat might
stomp her, and that she'll never amount to anything. imani begins to
believe them. at bedtime, imani's mama tells her traditional maasai stories
about the moon goddess olapa and anansi the spider. they accomplished the
impossible. imani's mama tells her that she is the one who needs to believe
if she wants to reach new heights. so imani sets out to touch the moon. an
unforgettable story about the power of believing in ourselves that is sure
to inspire young readers to reach for their own moons.","['determination', 'perseverance']","[['culture', 'customs'], ['perception', 'proximity', 'motion'], ['multilingual text', 'code-switching'], ['family', 'parent-child relationships'], ['self-confidence'], ['social:bullying'], ['storytelling:storytelling'], ['language:word learning'], ['bravery:bravery'], ['dream big/following dreams:dream big/following dreams'], ['cognition:creative thinking/solutions'], ['celebration:celebration'], ['perception:gestalt principles'], ['language:sound effects'], ['language:word learning']]","english, maasai"
9780060753467.0,is there really a human race?,jamie lee curtis,"is there really a human race? is it going on now all over the place? when
did it start? who said, ""ready, set, go""? did it start on my birthday? i
really must know. with these questions, our hero's imagination is off and
running. is the human race an obstacle course? is it a spirit? does he get
his own lane? does he get his own coach? written with jamie lee curtis's
humor and heart and illustrated with laura cornell's worldly wit, is there
really a human race? is all about relishing the journey and making good
choices along the way—because how we live and how we love is how we learn
to make the world a better place, one small step at a time.","['competition or having fun?', 'help others']","[['language', 'rhyming', 'literal vs. figurative language'], ['perception', 'motion', 'visual attention'], ['social:understanding your place'], ['search strategies:search strategies']]",english
9781534110632.0,isabel and her colores go to school,alexandra alessandri,nan,['anxiety/fear'],"[['multilingual text', 'spanish and english', 'code-switching'], ['language', 'glossary', 'pronunciation guide', 'word learning'], ['perception', 'color'], ['first day of school:first day of school'], ['language:similes'], ['language:metaphors'], ['language:communication'], ['social:friendship'], ['social:belonging'], ['social:making friends'], ['emotions:sadness'], ['creativity:creativity'], ['resilience:resilience'], ['social:finding your place']]","spanish, english"
9780735229860.0,islandborn,junot díaz,"from new york times bestseller and pulitzer prize winner junot díaz comes a
debut picture book about the magic of memory and the infinite power of the
imagination. a 2019 pura belpré honor book for illustration every kid in
lola's school was from somewhere else. hers was a school of faraway places.
so when lola's teacher asks the students to draw a picture of where their
families immigrated from, all the kids are excited. except lola. she can't
remember the island—she left when she was just a baby. but with the help of
her family and friends, and their memories—joyous, fantastical,
heartbreaking, and frightening—lola's imagination takes her on an
extraordinary journey back to the island. as she draws closer to the heart
of her family's story, lola comes to understand the truth of her abuela's
words: “just because you don't remember a place doesn't mean it's not in
you.” gloriously illustrated and lyrically written, islandborn is a
celebration of creativity, diversity, and our imagination's boundless
ability to connect us—to our families, to our past and to ourselves.",[],"[['multilingual text', 'code-switching'], ['perception', 'motion', 'light'], ['culture', 'identity'], ['perception:gestalt principles'], ['perception:similarity'], ['perception:proximity'], ['perception:grouping'], ['language:similes'], ['good vs. evil:good vs. evil'], ['interesting mix of words and pictures:interesting mix of words and pictures']]","english, spanish"
9781534453654.0,it's diwali,kabir sehgal & surishtha sehgal,nan,[],"[['culture'], ['celebration:diwali'], ['celebration:holidays'], ['perception:similarity'], ['perception:color'], ['language:word learning'], ['math:counting'], ['language:rhyming']]","english, hindi"
9780807563731.0,jacob's new dress,sarah & ian hoffman,"jacob loves playing dress-up, when he can be anything he wants to be. some
kids at school say he can't wear ""girl"" clothes, but jacob wants to wear a
dress to school. can he convince his parents to let him wear what he wants?
this heartwarming story speaks to the unique challenges faced by boys who
don't identify with traditional gender roles.",[],"[['gender', 'identity', 'nonconformity'], ['self-expression'], ['sex roles:sex roles'], ['social:bullying'], ['imagination:imagination'], ['social:friendship'], ['culture:pride']]",english
9780152025229.0,jazz baby,lisa wheeler,baby and his family make some jazzy music.,[],nan,english 
9780763690458.0,julián is a mermaid,jessica love,"in an exuberant picture book, a glimpse of costumed mermaids leaves one boy
flooded with wonder and ready to dazzle the world. while riding the subway
home from the pool with his abuela one day, julián notices three women
spectacularly dressed up. their hair billows in brilliant hues, their
dresses end in fishtails, and their joy fills the train car. when julián
gets home, daydreaming of the magic he's seen, all he can think about is
dressing up just like the ladies in his own fabulous mermaid costume: a
butter-yellow curtain for his tail, the fronds of a potted fern for his
headdress. but what will abuela think about the mess he makes -- and even
more importantly, what will she think about how julián sees himself?
mesmerizing and full of heart, jessica love's author-illustrator debut is a
jubilant picture of self-love and a radiant celebration of individuality.",[],"[['gender', 'roles', 'expression'], ['multilingual text', 'code-switching'], ['self-expression'], ['perception:motion perception'], ['culture:identity'], ['pictures without words:pictures without words'], ['acceptance:acceptance'], ['self:being yourself']]","english, spanish"
9781603420358.0,just in case,yuyi morales,"if disaster strikes and public services are limited, you want to know that
your family will be taken care of. learn how to inventory and rotate your
food supply, pack an evacuation kit, maintain communication with loved
ones, and much more. you’ll soon gain the ingenuity and resourcefulness to
get your family through even the most unfortunate circumstances.",['repetitive phrases'],"[['perception', 'visual attention'], ['language', 'word learning', 'phonemes'], ['social:friendship'], ['language:alphabet']]","english, spanish"
9781623542900.0,keepunumuk: weeachumun's thanksgiving story,"danielle greendeer,anthony perry and alexis bunten","in this wampanoag story told in a native tradition, two kids from the
mashpee wampanoag tribe learn the story of weeâchumun (corn) and the first
thanksgiving. the thanksgiving story that most americans know celebrates
the pilgrims. but without members of the wampanoag tribe who already lived
on the land where the pilgrims settled, the pilgrims would never have made
it through their first winter. and without weeâchumun (corn), the native
people wouldn't have helped. an important picture book honoring both the
history and tradition that surrounds the story of the first thanksgiving.","['help others', 'caring for the environment']","[['culture'], ['difficult topics:colonization'], ['language:word learning'], ['oral storytelling:oral storytelling'], ['first nation:first nation'], ['celebration:first thanksgiving']]","english, wopanaak"
9780316310628.0,knight owl,christopher denise,"after achieving his dream of becoming a knight, a small owl protects the
castle from a hungry dragon.","['determination', 'anxiety/fear']",nan,english
9781338116946.0,knock knock,tammi sauer,"bear settles down for his long winter nap, but his friends have other
ideas.",[],nan,english
9780399251566.0,la princesa and the pea,susan middleton elya,"the princess and the pea gets a fresh twist in this charming retelling with
spanish sprinkled throughout, winner of the pura belpré medal for
illustration. el príncipe knows this girl is the one for him, but, as
usual, his mother doesn’t agree. the queen has a secret test in mind to see
if this girl is really a princesa, but the prince might just have a sneaky
plan, too . . . readers will be enchanted by this latino twist on the
classic story, and captivated by the vibrant art inspired by the culture of
peru.",['glossary/pronunciation guide'],"[['multilingual text', 'spanish and english', 'code-switching'], ['language:word learning'], ['language:rhyming'], ['fairy tales:fairy tales']]","spanish, english"
9780671568177.0,let me call you sweetheart,mary lee donovan,"it's a minor accident that brings prosecutor kerry mcgrath to the plastic
surgeon's office with her beloved daughter, robin. but even as the doctor
assures kerry that her daughter's scars will heal, she spies a familiar-
looking beautiful woman in the waiting room and is seized by an
overpowering sense of deja vu. when, on a return visit, she sees the same
haunting face -- on another woman -- she has an intense flash of
recognition: it's the face of suzanne reardon, the ""sweetheart murder""
victim, killed more than ten years ago! the case resulted in a guilty
verdict and life sentence for suzanne's husband, skip. but for what
possible reason would dr. smith be giving his patients the face of a dead
woman? as kerry immerses herself in a fresh investigation, she is
catapulted into the strange and ominous territory of those so obsessed with
beauty they'll kill for it. each new piece of evidence she unearths reveals
a disturbing cache of questions. not only does everyone involved want to
keep the case closed, it's clear somebody will stop at nothing to keep it
sealed forever. as she delves deeper she finds she's wrestling with a force
so sinister that her own life -- and her daughter's -- is threatened with
increasing peril.... interweaving fascinating characters with deeply
daring, staggeringly unpredictable plot twists, mary higgins clark reminds
us that she is, indeed, america's queen of suspense.",[],"[['multilingual text', 'code-switching'], ['family'], ['family:love'], ['affection:affection'], ['language:rhyming'], ['food:food'], ['perception:motion']]",english
9781536210606.0,let's play monsters!,lucy cousins,"inspired by a game she played with her own grandchild, the creator of maisy
brings her crayon-bright colors to a story that will have little monsters
running for a listen. you be a monster who is green and scary, with sharp
pointy teeth and feet that are hairy. little gabriel loves to play
monsters. and his family is happy to oblige, from josie the hungry beast
(munch, crunch, scrunch!) to uncle rufus with horns and a tail (oink oink
moo!), and even nonna the jelly monster (i’ll gobble you up!). but what
happens when mom-the-monster comes to eat gabriel up when it’s time for
bed? lucy cousins offers an entertaining and heartwarming celebration of
family as she follows an imaginative child through a day of escalating
giggles to a cozy moment before sleep.",[],nan,english
9780544568037.0,little blue truck,alice schertle,"a bit of muck is no match for the friendly little blue truck! this
bestselling board book now includes a free downloadable party kit.","['help others', 'cooperation/working together']","[['emotions', 'anxiety', 'fear'], ['language:rhyming'], ['language:sound effects'], ['teaching children animal sounds:teaching children animal sounds'], ['social:kindness'], ['social:bullying'], ['cognition:cause and effect'], ['manners:manners'], ['social:friendship']]",no language given
9780759556096.0,little messy marcy su,cherie fu,"little messy marcy su cleans the house to help her mother, but with every
mess she picks up she somehow makes another. includes chinese language
lesson.",[],"[['language', 'rhyming', 'development', 'semantic development'], ['multilingual text', 'mandarin chinese tones with comparable english examples', 'code-switching'], ['language:word learning'], ['cognition:executive function'], ['inhibition:inhibition'], ['responsibility:responsibility']]",nan
9780399247675.0,little roja riding hood,susan middleton elya,"a smart, snappy, retelling of little red riding hood, with spanish
sprinkled throughout winner of a pura belpre honor for illustration while
roja picks flowers on the way to her grandma's, a mean wolf sneaks away
with her cape to surprise abuelita. but grandma's no fool and roja's no
ordinary chica. they send that hungry lobo packing with a caliente
surprise! this spirited retelling of little red riding hood has accessible
spanish rhymes and fresh illustrations, with hip cultural details
throughout.",['glossary/pronunciation guide'],"[['multilingual text', 'spanish and english', 'code-switching'], ['cognition', 'reasoning and decision making skills'], ['language:word learning'], ['language:rhyming'], ['fairy tales:fairy tales'], ['telenovela cultural aspect:telenovela cultural aspect'], ['religious references:religious references'], ['cognition:cognitive development']]","spanish, english"
9781623541712.0,lola goes to school,anna mc quinn,"spunky lola embarks on a new adventure--the first day of school! a
comforting, cheerful read that demystifies the school day for preschoolers
and kindergarteners. lola and her family prepare for the first day of
school the night before, then get up early, take pictures, and head to
class. lola puts her things in her cubby, chooses her activities, reads,
plays, and has a snack. before she knows it, it's time to sing the good-bye
song and rush into mommy's arms for a warm reunion.",[],nan,no language given
9780062644558.0,look,fiona woodcock,nan,[],"[['language', 'sounds and spelling'], ['cognition:creative thinking/solutions'], ['language:useful for speech pathologist'], ['language:helpful for teaching spelling']]",english
9781368078061.0,loud mouse,cara mentzel & idina menzel,"from writer and teacher cara mentzel and her sister, tony award-winner
idina menzel, comes this stunning picture book about a little mouse finding
her big voice. dee loves to sing. she sings during her morning yoga. she
even sings while practicing her math facts. she usually sings to herself.
but when her teacher asks everyone to share something with the class, dee
knows just what to bring: a song. and as dee sings la, la, la, la,loudly in
front of her class for the first time, something extraordinary happens. . .
. complete with gorgeous illustrations and filled with humor and heart,
loud mouse is a clever tale about learning that sometimes your best self is
big, brave, and yes, loud.",['anxiety/fear'],"[['self-confidence'], ['empowerment:empowerment'], ['social:finding your voice'], ['change:change'], ['leaving comfort zone:leaving comfort zone'], ['language:adjectives'], ['perception:motion'], ['perception:color'], ['language:similes'], ['different:being different'], ['puberty:puberty']]",english
9781542006200.0,love made me more,colleen rowan kosinski,nan,[],"[['family', 'generations'], ['growing up:growing up'], ['change:change'], ['major life events:major life events'], ['transitions:transitions'], ['relationship changes with time:relationship changes with time']]",english
9780920668375.0,love you forever,robert munsch,"a young woman holds her newborn son and looks at him lovingly. softly she
sings to him: ""i'll love you forever i'll like you for always as long as
i'm living my baby you'll be."" so begins the story that has touched the
hearts of millions worldwide. since publication in l986, love you forever
has sold more than 15 million copies in paperback and the regular hardcover
edition (as well as hundreds of thousands of copies in spanish and french).
firefly books is proud to offer this sentimental favorite in a variety of
editions and sizes: we offer a trade paper and laminated hardcover edition
in a 8"" x 8"" size. in gift editions we carry: a slipcased edition (8 1/2"" x
8 1/4""), with a laminated box and a cloth binding on the book and a 10"" x
10"" laminated hardcover with jacket. and a big book edition, 16"" x 16"" with
a trade paper binding.",[],"[['family', 'parent-child relationships'], ['childhood'], ['adulthood'], ['growth:growth'], ['change:change'], ['puberty:puberty']]",english
9781499807769.0,maiden & princess,daniel haack & isabel galupo,"in this modern fairy tale, a strong, brave maiden is invited to attend the
prince's royal ball, but at the dance, she ends up finding true love in a
most surprising place. ""the prince is smart and strong,"" she confided in
her mother. ""but if i'm being honest, i see him as a brother."" her mother
said, ""just go! and have a bit of fun. the prince might not be right, but
you could meet the one."" once in a faraway kingdom, a strong, brave maiden
is invited to attend the prince's royal ball, but she's not as excited to
go as everyone else. after her mother convinces her to make an appearance,
she makes a huge impression on everyone present, from the villagers to the
king and queen, but she ends up finding true love in a most surprising
place. this book is published in partnership with glaad to accelerate lgbtq
inclusivity and acceptance.",[],"[['gender', 'roles', 'breaking the binary'], ['sex-typing'], ['sexual attraction spectrum:sexual attraction spectrum'], ['acceptance:acceptance'], ['support:support'], ['gender:norms'], ['family:love'], ['gay marriage:gay marriage'], ['sex roles:sex roles'], ['language:rhyming'], ['culture:identity']]",english
9780544357693.0,maybe something beautiful,isabel campoy and theresa howell,"what good can a splash of color do in a community of gray? as mira and her
neighbors discover, more than you might ever imagine based on the true
story of the urban art trail in san diego, california, maybe something
beautiful reveals how art can inspire transformation--and how even the
smallest artists can accomplish something big. pick up a paintbrush and
join the celebration",[],nan,english
