Title,Author,Language(s),Classes Where this could be useful,Topics Covered,Comments,class activity ideas,,
The chalk garden,Sally Anne Garland,English,"Perception, Cognitive Psychology","Weather, growth, persistence, perception (Gestalt principles, proximity) shadow, creative thinking/solutions",,,,
The cool bean,Jory John,English,"Developmental, Intro Psych, Education Classes","Popularity, change, friendship, self-esteem, self-acceptance, being yourself, daily tasks/activities/routines, values, help others",,,,
The Day the Crayons Quit,Drew Daywalt,English,"Perception, Cognitive Psychology, Developmental, Social","adjectives, perception (bold colors, color, use of color) humor, creativity, creative thinking/solutions, conflict, frustration, identity",,,,
"The First Notes The Story of DO, RE, MI",Julie Andrews & Emma Walton Hamilton,English,Perception,"Gestalt principles, relations of elements to each other",,,,
The Girl Who Never Made Mistakes,Mark Pett & Gary Rubinstein,English,,"Perfectionism, anxiety/fear, sibling differences, it's okay to make mistakes",,,,
The Giving Tree,Shel Silverstein,English,,"Love, giving/sharing, time, growing up, selfishness, very one-sided relationship, friendship, aging, cause and effect, flexibility, relationship changes with time, showing love without using words, unconditional love",,,,
The Golden Girls of Rio,Nikkolas Smith,English,Perception,"Working hard to achieve goals/dreams, family traditions, motion perception, friendship, cooperation/working together, self-esteem, self confidence, female empowerment, diversity, people from different backgrounds",,,,
The Grouchy Ladybug,Eric Carle,English,,0,,,,
The jolly postman or other people's letters,Janet & Allan Ahlberg,English,,Fairy Tales,,,,
The king of kindergarten,Derrick Barnes,English,,"daily tasks/activities/routines, first day of school, self-confidence, values, making friends, growing up, pride, kindness, bravery, imagination, sharing",,,,
The light in me sees the light in you,Lori Nichols,English,,0,,,,
"The Little Mouse, the Red Ripe Strawberry, and The Big Hungry Bear",Don & Audrey Wood,English,"Perception, Psycholinguistics","Adjectives, relative size, anxiety/fear, giving/sharing",,,,
the little red stroller,joshua furst,English,Developmental Psychology,"diversity, giving/sharing, paying it forward, time, different family structures, different environments, family traditions, family activities, imagination, creativity, emotions (expression of, identification of), object permanence, attachment/secure attachment",,,,
The Lorax,Dr. Seuss,English,"Perception, Psycholinguistics","perception (relative size, Gestalt principles, similarity, proximity, figure-ground segregation), language (alliteration, word learning), caring for the environment, interconnected habitat, economics, environmental consequences of industrialization and greed",,,,
the Monster at the end of this Book,Jon Stone,English,,"anxiety/fear, use of colors and font size to emphasize words, determination, critical thinking/problem solving, creative thinking/solutions, embarrassment, humor",,,,
The Mother's Day Mice,Eve Bunting,English,"Family relationships, giving gifts, creative thinking",0,,,,
The noise inside boys: a story about big feelings,Pete Oswald,English,"Intro Psych, Developmental, Social and Emotional Learning","Emotions (regulation of, recognition of, managing of), sibling relationships, rhyming, perception (relative size, texture gradient, motion, light/lighting, color, changing light), shadow, self-acceptance, family activities, family interactions, family caring for each other",,,,
The Princess and the Pony,Kate Beaton,English,Developmental,"Different isn't bad or wrong, everyone has their own skills, people are multifaceted, challenging stereotypes, multiple ways to be a warrior, self-concept, stereotypes, prejudices, female empowerment",,,,
The Princess Knight,Cornelia Funke,English,,female empowerment,,,,
The queen of kindergarten,Derrick Barnes,English,Developmental,"first day of school, self-confidence, values, kindness, help others, creativity, daily tasks/activities/routines, empathy, giving/sharing",,,,
The Rabbit Listened,Cori Doerrfeld,English,,0,,,,
The Rainbow Fish,Marcus Pfister,,"Developmental psychology, perception","Giving/sharing, friendship, uniqueness, belonging, similarity, peer relationships, bullying, moral development",,,,
The real Dada Mother Goose,Jon Scieszka,"English, Spanish, Arabic, Chinese, Latin, Morse code, Esperanto, pig Latin, Egyptian hieroglyphics",Psycholinguistics,"Multilingual text (code-switching), humor, revised nursery rhymes, definitions, creative thinking/solutions, spoonerism, word play",,,,
the smart cookie,jory joihn and pete oswald,,,"community, self-confidence, identity, self-concept, knowledge, comparison, inhibition, it's okay to make mistakes, anxiety/fear, creativity, embracing differences, managing emotions, leaving comfort zone, perseverance, individual differences, uniqueness, self perception, childhood, social anxiety, knowledge",,,,
The sour grape,Jory John & Pete Oswald,English,,"Holding a grudge, emotions (anger, frustration, sadness) kindness, fundamental attribution error, communication",,,,
The True Story Of The 3 Little Pigs,Jon Scieszka,English,,0,,,,
The Very Hungry Caterpillar,Eric Carle,English,"Developmental psychology, Perception, Intro","Relative size, time, numbers, growth, discontinuous development, growing cycle, food, cause and effect, change, texture, Maslow's hierarchy of needs (drives, needs, self-actualization)",,,,
The World Needs More Purple People,Kristen Bell and Benjamin Hart,English,,0,,,,
The worry box,Suzanne Chiew,English ,,"Anxiety/fear, sibling relationships, friendship, giving/sharing, courage, help others ",,,,
The worst teddy ever,Marcelo Verdad,English,,"Daily tasks/activities/routines, friendship",,,,
Thumbelina,Hans Christian Andersen,English,Perception,Relative size,,,,
To the other side,Erika Meza,"English, Spanish","Perception, Social","Immigration, color, texture gradient, proximity, anxiety/fear, shadow, relationships, family, dreams, borders, change, transitions, patience, friendship, hope",,,,
tomas and the library lady,pat mora,,,0,,,,
Two homes,Claire Masurel,English,"Developmental, Intro","divorce, daily tasks/activities/routines, two houses but same activities, shows the same rooms, home, family structures, friendship, unconditional love",,,,
two shy pandas,julia jarman & susan varley,english,,0,,,,
Uncle Bobby's Wedding,Sarah S. Brannen,English,,"gay marriage, attachment/secure attachment, cognitive dissonance, acceptance, denial",,,,
until someone listens,estela juarez with lissette norman,"Spanish, English","Developmental Psychology, Social Psychology","immigration, family, activism, talking about difficult topics, code-switching, social justice",,,,
Wakanda Forever,Frederick Joseph,English,,"resilience, bullying, dream big/following dreams, creative thinking/solutions, help others",,,,
We are grateful,Traci Sorell,"English, Cherokee","Psycholinguistics, Multicultural","Word learning, First Nation, gratitude, culture (customs, traditions, identity, memory, food, history, values), seasons, seasonal activities, cooperation/working together, social connection, family generations, family history, community",,,,
We Don't Eat Our Classmates,Ryan T. Higgins,English,"Developmental Psychology, Education classes","starting school, making friends, withdrawn-rejected child category",,,,
"We're Different, We're the same",Sesame Street,,"Developmental Psychology, Education classes","sense of self, comparison, self-esteem, body parts, body shapes and sizes, body image, function of the skin, racial/ethnic diversity, emotional recognition, self acceptance/appreciation, pride, similarity, embracing differences, individual differences, we're different but the same",,,,
Welcome Mei Su and Other Tales,Gyo Fujikawa,English,,0,,,,
What Are Your Words?,Katherine Locke,English,"Developmental psychology, Adolescence","Gender (diversity/fluidity, identity, expression, dysphoria, pronoun diversity, inclusive pronouns, pronoun fluidity, pronouns, pronouns changing over time, transgender) sex assigned at birth, psychological condition, biological sex, intersectionality, (dis)ability diversity",,,,
What do you do with an idea?,Kobi Yamada,English,"Perception, Developmental","Ideas, color, motion, cognition, growth, change, perseverance, changing the world, self-confidence, speaking up/standing up for yourself and others",,,,
what is family on Sesame Street?,,English ,"Developmental, Perception","rhyming, family, family functions, family generations, family activities, diversity, relationships, staying connected, families change, chosen family, continuity, grouping, perspective",,,,
"What's that noise, this book is calling you",Isabel Minhos Martins and Madlena Matoso,English,Perception,"perception (Gestalt principles, tactile sensations, engaging multiple senses) descriptive language, adventure, friendship",,,,
What's Your Favorite Color?,Eric Carle and Friends,English,,0,,,,
Where The Wild Things Are,Maurice Sendak,English,"Psycholinguistics, Perception","Adjectives, motion perception, pictures without words",,,,
Who are you? The kid's guide to gender identity,Brook Pessin-Whedbee,English,"Developmental, Psychology of Gender","Gender (identity, expression, diversity, binary, breaking the binary, fluidity, understanding the gender spectrum), self identity, diversity, self-expression, identity, you know best",,,,
Wink the ninja who wanted to nap,J.C. Phillips,English,Developmental,"popularity, pride, family caring for each other, help others, self-confidence, imagination, frustration",,,,
World Cup Women,Meg Walters,English,Psycholinguistics,"Female empowerment, working hard to achieve goals/dreams, time, cooperation/working together, individual strengths",,,,
Yes! No! A first conversation about consent,"Megan Madison, Jessica Ralli, & Isabel Roxas",English,Adolescence,"Bodily autonomy/consent, relationships, talking about difficult topics",,,,
You Are Enough,Margaret O'Hair,English,,"Inclusivity, down syndrome, empowerment, different isn't bad or wrong, main character has Down syndrome, children and adults with various differing abilities, children in wheelchairs, skin tones, racial/ethnic diversity, skin pigmentation, body shapes/sizes, majority of characters are white, repetition, information about Down syndrome",,,,
you are my i love you,maryann cusimano love,,,0,,,,
You be you,Jonathan Branfman,English,"Developmental, Psychology of Gender, Social","Gender identity, sexual identity, self identity, diversity, self-expression, gender expression, identity, gender diversity, you know best, gender binary, breaking the binary, gender fluidity, understanding the gender spectrum, sexuality, sexual attraction spectrum, intersectionality, discrimination, stereotypes, privilege",,,,
Your name is a song,Jamilah Thompkins Bigelow,English,"Intro Psych, Perception, Developmental, Social Psychology, Psycholinguistics","starting school, speaking up.standing up for yourself and others, different isn't bad or wrong, pride in culture, pride in name, pride, names have meaning, diversity, inclusivity, belonging, creative thinking/solutions, bullying, rhythm, emotions, motion, persistence",,,,
Dress like a girl,Patricia Toht,English,"Intro Psych, Perception, Developmental, Psychology of Gender, Psycholinguistics","Breaking gender norms, rhyming, dream big/following dreams, motion, adjectives, descriptive language, diversity, self-expression, being yourself, self acceptance",,,,
A grandma's magic,Charlotte Offsay,English,"Developmental, Social","Family relationships, grandparents, daily tasks/activities/routines, motion perception, love",,,,
The upper case: Trouble in capital city,Tara Lazar,English,"Psycholinguistics, Perception","Anthropomorphizing, synesthesia, word play, detective story, emotions, punctuation marks, identity, multiple meanings, critical thinking/problem solving, time",,,,
Always Anjali,Sheetal Sheth,English,"Intro Psych, Perception, Developmental, Psycholinguistics","Celebration, growing up, being different, belonging, bullying, pride in name, culture, sadness, creative thinking/solutions, friendship, uniqueness",,,,
Can we please give the police department to the grandmothers?,Junauda Petrus,English,,"Culture, love, wisdom, cultural history",,,,
They're so flamboyant,Michael Genhart,English,"Psycholinguistics, Perception, Social, Psychology of Gender","Diversity, inclusion, exclusion, alliteration, word learning, categories, being yourself, pride, acceptance, stereotypes, anxiety/fear, discrimination, self-confidence, changing perspectives",,,,
This day in June,Gayle E Pitman,English,"Psycholinguistics, Perception, Social, Psychology of Gender","Pride, rhyming, motion, acceptance, embracing differences, color, equality, inclusion, identity, stereotypes, history",,,,
Uniquely wired,Julia Cook,English,Developmental,"Autism, interpersonal relations, tolerance, friendship, bullying, life skills, metaphors, different perspectives, being yourself, acceptance",,,,
My powerful hair,Carole Lindstrom,"English, Ojibwe",,"Culture, cultural history, personal history, cultural values, cultural beliefs, cultural activities, indigenous people, Identity, motion, emotions",,,,
Broadway bird,Alex Timbers,English,"Developmental, Social Psychology","Believing in yourself, perseverance, stereotypes, diversity, different perspectives, motion perception, self acceptance, belonging",,,,
Most perfect you,Jazmyn Simon,English,,"Self acceptance, family relationships, uniqueness, belonging, emotions, beauty standards",Good book for illustrating that white beauty standards are not the only ones,,,
My brain is magic,Prasha Sooful,English,"Developmental, Perception, Psycholinguistics","Motion perception, metaphor, texture, engaging multiple senses, descriptive language, sounds and spelling, multiple aspects of identity, emotions, sensation, being aware of one's own senses, intuition, feelings, power of the brain","Could be useful for giving a sense of what it's like to have a sensory seeking disorder (e.g., ASD)",,,
Taking asthma to camp,Kim Gosselin,English,"Developmental, Perception, Health Psychology","Proximity, similarity, anxiety/fear, friendship, emotions, similarities and differences, self acceptance, daily tasks/activities/routines, growing up, responsibility",,,,
Madeline,Ludwig Bemelmans,English,,"Rhyming, daily tasks/activities/routines, emotions, uniqueness",,,,
"I'm like you, you're like me",Cindy Gainer,English,Developmental,"Similarities, differences, growth, diversity, acceptance, friendship, bullying, help others, cooperation/working together, motion perception",,,,
Charlie goes to school,Ree Drummond,English,Perception,"Motion perception, daily tasks/activities/routines, relative size, texture gradient",,,,
Words to make a friend,Donna Jo Napoli,"English, Japanese","Developmental, Perception, Psycholinguistics, Cognitive Psychology","Emotions, friendship, patterns, similarity, continuity, language learning, cooperation/working together, embodied cognition, daily tasks/activities/routines, similarities/differences, open mindset, friendshp is more than words",,,,
Every body,"Megan Madison, Jessica Ralli, & Tequitia Andrews",English,"Developmental, Adolescence, Gender","Body positivity, diversity, acceptance, self-acceptance, emotions (facial expressions, physical aspects), growth, fatphobia, beauty standards, critical thinking/problem solving, (dis)ability, needs/drives/motivationt",,,,
Alma and how she got her name,Juana Martinez-Neal,"English, Spanish","Developmental, Multicultural, Perception","Identity, family history, connections to family, generations, parent-child relationships, grouping, continuity, culture, activism, self-acceptance, pop-out effect",,,,
Fry bread: A native American family story,Kevin Noble Maillard,English,"Perception, Intro Psych","the senses (sight, sound, taste, smell, touch), culture, cultural history, adjectives, family, Gestalt principles (similarity, grouping), patterns, motion perception, emotions, Helping, working together, Similes, Daily tasks/activities/routines, community, resilience, tradition",,,,
Lilly's Purple Plastic Purse ,Kevin Henkes,English ,,"Admiration, emotions (anger, sadness, guilt, shame), overexcitement, self esteem, being influenced by experiences, sense of identity, positive reinforcement, egocentric, theory of mind",,,,
The Rainbow Parade ,Emily Neilson ,English ,,"Identity, differences, acceptance, embracing ourselves as we are, love, emotions",,,,
The Proudest Blue ,Ibtihaj Muhammad with S.K. Ali,English ,"Intro Psych, Developmental, Social","bullying, strength, pride, faith, religion, identity, self esteem, empowerment, coping with external judgments, family, support systems, deindividuation, emotions, similes, motion perception",,,,
Home is in Between ,Mitali Perkins ,"English, Bangla/Bengali",,"Belonging, language, adaptation, emotions, feelings, frustration, culture, identity, culture and self, immigration, Perceptual grouping and segregation, texture, letters/orthography, friendship, holidays",,,,
Nesting Dolls ,Vanessa Brantley-Newton ,English ,,"Uniqueness, beauty, perception, self esteem, sense of self, identity, self love, confidence, beauty standards, family history; sibling relationships, family, belonging, language/dialect",,,,
My Papi has a motorcycle,Isabel Quintero,"English, Spanish","Perception, Psycholinguistics, Intro Psych","Motion perception, language learning, family, relationships, adjectives, neighborhood, culture, cultural history, sound effects, change, staying the same, immigration, gender roles, Perceptual grouping and segregation, relative size, texture gradient",,,,
Special delivery,Alexandra Day and Cooper Edens,English,,"Helping others, working together, cooperation, kindness, community, alliteration","Nice story, though not my immediate favorite",,,
Skippyjon Jones,Judy Schachner,English,"Perception, Intro Psych, Social Psychology","Stereotypes, rhyming, motion perception, role-playing, relative size, texture gradient, daily tasks/activities/routines",,,,
Where are You From,Yamile Saied Mendez,,Multicultural Psychology,"Self acceptance, identity, home, diversity, cultural hertirage, cultural identity, family relationships, Daily tasks/activities/routines, belonging, curiosity, foreground/background, relative size, color, light, multiculturalism",,,,
Planting stories: the life of librarian and storyteller Pura Belpre,Anika Aldamuy Denise,"English, Spanish","Perception, Psycholinguistics","Immigration, language learning, adjectives, cultural identity, diversity, perceptual grouping, perceptual segregation, initiative",,,,
A book about bupkes,Leslie Kimmelman,English,,"A story about reframing, going from thinking about bupkes=nothing, to understanding how it can be a positive thing","A story about reframing, going from thinking about bupkes=nothing, to understanding how it can be a positive thing",,,
Wishes,Mu'o'n Thi Van,English,"Perception, Intro Psych, Social Psychology","Immigration, family, culture, motion perception, emotions (sadness, anxiety, fear, wonder), color, texture, change",,,,
Hanukkah upside down,Elissa Brent Wiseman,English,Perception,"Family, holidays, traditions, similarities/differences, perceptual grouping (similarity) and segregation, texture gradient",,,,
A bad case of stripes,David Shannon,English,"Intro Psych, Developmental Psychology, Social Psychology","Perceptual grouping (similarity), belonging, aocial interactions, bullying, emotions (anxiety, embarrassment), change, worrying about what other people think, self acceptance",A little odd and more text than I usually prefer for picture books,,,
The English roses,Madonna,English,,"Friendship, loneliness, emotions (envy), exclusion/ostracism, stereotypes, being kind to others",Not crazy about the illustrations and more text than I usually prefer for picture books,,,
Wilfrid Gordon McDonald Partridge,Mem Fox,English,"Intro Psych, Developmental Psychology, Psycholinguistics","Memory, friendship, definitions, contradictions, relative size, emotions",,,,
Fish is fish,Leo Lionni,English,"Perception, Developlmental Psychology","Friendship, perceptual grouping (similarity, proximity), change, Development/discontinuous development, egocentrism, self acceptance","Maybe egocentrism, where he sees the world from his point of view (e.g., birds that look like fish with wings, how is that look like fish with horns and others, etc.)",,,
When we were alone,David A. Robertson,"English, Cree",Multicultural Psychology,"Culture, cultural history, family, conformity, emotions, speaking up/standing up for yourself and others, staying connected, Indigenous Nations, traditions, Repetitive phrases
",About the residential schools for Indigenous peoples in Canada,,,
Silent music: A story of Baghdad,James Rumford,"English, Arabic",Psycholinguistics,"language, alphabet, identity, simile, family, emotions, language learning",,,,
The librarian of Basra,Jeanette Winter,English,"Developmental Psychology, Intro Psych","Community, fear, speaking up/standing up for yourself and others, morality, help others",,,,
Jingle Dancer,Cynthia Leitich Smith,English,,"Indigenous Nations, traditions, culture, cultural history, family, help others, community, sound effects",Good but maybe a little text heavy for this activity,,,
one Fish two Fish red Fish blue Fish,Dr. Seuss,English,"Psycholinguistics, Perception, Developmental psychology","comparison, adjectives, categories, emotion, relative size, texture gradient, rhyming, consequences",,,,
the paper bag Princess,Robert Munsch,English,,"challenging gender stereotypes, critical thinking, creative problem-solving, standing up for yourself, emotions",,,,
don't let the pigeon Drive the bus,Mo Willems,English,,"emotions, persistence",simple language though not my favorite,,,
Pete the cat: too cool for school,Kimberly and James Dean,English,,"repetition, listening to others, self acceptance, self image",Simple message though not my favorite,,,
Sam and the firefly,PD Eastman,English,,"repetition, color contrast (or lack thereof), friendship,rhyming, morality, emotions, consequences",Good but maybe a little text heavy for this activity,,,
Let's appreciate everyone,Bracha Goetz,"English, Hebrew",,"inclusion/exclusion, differences, acceptance, emotions, diversity, social relationships ",,,,
Included,Jayneen Sanders,English,"Perception, Developmental, Intro psych","inclusion, diversity, belonging, (dis)ability, cerebral palsy, identity, senses, sensory overload, bodily autonomy, consent, autism, deafness, sign language, Down syndrome, friendship, helping, emotions, ADHD, empathy, mindfulness, limb difference, prosthetics",,,,
Ali and the sea stars,Ali stroker,English,"Perception, Intro psych","identity, perceptual grouping, motion perception, depth perception, rehearsal, cognitive flexibility, functional fixedness (or lack thereof), problem-solving, collaboration",main character is in a wheelchair but not the main focus of the story (glad to see disability shown without being the featured issue),,,
Phoenix gets greater,Marty Wilson-Trudeau and Phoenix Wilson,English,"Intro psych, Developmental, Gender","indigenous culture, two-spirit, gender roles, gender expression, relationships, family, friendship, bullying, sense of self, sexuality, emotions, acceptance",,,,
More than words,Roz Maclean,English,"Intro psych, Developmental, Psycholinguistics","communication styles, diversity, (dis)ability, Gestalt principles (proximity, similarity, good continuation), emotions, inclusion",,,,
Boys don't fry,Kimberly Lee,"English, Chinese?","Intro psych, Developmental, Psycholinguistics","Culture, family, gender roles, Gestalt principles (similarity, good continuation), holiday, word learning, observational learning, active learning",,,,
don't blow your top,Ame Dyckman,English,,"emotions, strateegies for dealing with emotions (breatthing, counting, thinking happy thoughts)",,,,
Say Zoop,Herve Tullet,English,Perception,"Gestalt principles (good continuation, proximity), relative siize",,,,
proud mouse,Cara Mentzel & Idina Menzel,English,"Intro psych, Developmental","self-concept, self-esteem, self acceptance, social comparison, friendship, family, being different, being unique, perceptual grouping",,,,
"pink, blue, and you!",Elise Gravel,English,"intro psych, developmental, psychology of gender","gender stereotypes, gender identity, sexuality, social norms, different types of families, respecting others cultural differences ",not bad but not my favorite book on gender stereotypes and gender identity,,,
different like me,Xochitl Dixon,English,,"differences, similarities, diversity, celebrating differences, repetitiion, racial/etthnic diversity, differing abilities, emotions, helping, motion perception, relative size","includes some Bible quotes, particularly in discussion questions at end of book",,,
and Tango makes three,Justin Richardson and Peter Parnell,English,"developmental, perception","family, lgbtq, different kinds of families,patience, acceptance,sharing responsibilities, caring for family, texture gradient, relative size",,,,
Drawn together,Mihn Le,"English, Vietnamese or Thai",,"family, generations, overccoming obstacles, culture, finding common ground, language barriers, perceptual grouping, perceptual segregation, problemm-solving, perspective taking, theory of mind",book is largely told through pictures with minimal text,,,
we're all wonders,RJ Palacio,English,,"similarities/differences, bullying, emotions, imagination, creativity, kindness, perceptual grouping (similarity, proximity, good continuation), motion perception",,,,
love without bounds: an IntersectionAllies book about families,"Chelsea  Johnson, LaToya  Council and Carolyn Choi",English,Developmental Psych,"different types of families, rhyming, diversity, new siblings, adoption, miliitary families, divorce, chosen family, losing loved ones, traditions, transnational families, incarceration, blended families, LGBTQ, interracial marriage, ancestors",,,,
together: the first conversation about love,"Megan Madison,  Jessica Ralli & Anne/Andy Passchier",English,"Intro Psych, Developmental Psych","different types of love, self-love, definitions of love (e.g. feelings, action), diversity (race/ethnicity, (dis)abilities, gender, sexuality), perceptual grouping,different types of family, challenging heteronormativity",,,,
Bowwow powwow,Brenda J child,"English, Ojibwa","Perception, Psycholinguistics","cultural traditions, family, perceptual grouping (continuation, similarity, proximity), motion perception, cultural history, connecting with the community",,,,
a family like ours,Frank Murphy & Alice Lee,English,Developmental Psych,"different types of families, perceptual grouping (similarity, proximity),family functions, diversity, family relationships, adoption, found families,family history",,,,
say my name,Joanna Ho,,"perception, psycholinguistics","identity, self perception, cultural diversity, names have meaning, pride in name, motion perception, perceptual grouping, cultural history, cultural pride, descriptive language,literal versus figurative language, generations, relative size, family relationships, word learning  ",,,,
My mother's tongues: a weaving of languages,Uma Menon,"English, Malayalam",Psycholinguistics,"code switching, word learning, Daily tasks/activities/routines, Literal vs. figurative language, bilingual speaking, immigration,benefits of bilingualism, perceptual grouping (similarity, proximity), family",,,,
Seoul food,Erin Danielle Russell,"English, Korean","psycholinguistics, developmental psychology, intro psych","family, culture, cultural traditions,cultural food, cultural identity, problem-solving, emotions, word learning, family relationships, perceptual grouping (proximity, good continuation, similarity)",,,,
a kid is a kid is a kid,Sara O'Leary,English,,"perceptual grouping (proximity, similarity), motion perception, Similarities/differences",,,,
just ask,Sonia Sotomayor,English,,"Different physical and mental (dis)abilities, tolerance, similarities/differences, diabetes, asthma, dyslexia, children in wheelchairs, children with hearing aids, children who are blind, service animals, autism, stutter, Tourette syndrome, ADHD, food allergy, speaking up to protect yourself, Down syndrome, individual differences, labeling, differences within categories","Lots of different (dis)abilities, including some casees where they show multiple individuals with a given disorder to show the variability (e.g., autism). A bit text heavy but interesting",,,
how to build a hug: Temple Grandin and her amazing squeeze machine,Amy Guglielmo & Jacqueline Tourville,English,perception,"autism spectrrum disorder, emotion, sensory issues, descriptive language, problem-solving, identity",,,,
Charlie makes a splash,"Holly Robinsonn Peete, RJ Peete and Shane W. Evans",English,,"autism spectrum disorder, sensory issues, similarities/differences, comparisons, acceptance, sibling relationships, family relationships",,,,
we are water protectors,Carole Lindstrom,English,"Perception, Developmental Psych, Psycholinguistics","motion perception,  developmental stages, indiigenous culture, repetition, interconnected, caring for the environment, Environmental consequences of industrialization and greed, perceptual  grouping (good continnuation, similarity), color perception, cultural symbols, descriptive language",,could be goood for the activity talking about messages and how they are conveyed,,
Hair twins,Raakhee Mirchandani,English,,"Parent-child relationships, descriptive language, Literal vs. figurative language, motion perception, culture, family activities, perceptual grouping (similarity, good continuation, proximity), similarities/differences","Could go with Hair Love; both father-daughter relationships, fathers helping daughters with their hair",,,
little pea,Amy Krouse Rosenthal,English,"perception, developmental psychology","relative size, motion perception, Daily tasks/activities/routines, Parent-child relationships, counting, time",flips childhood routine (forced to eat candy before vegetable dessert),,,
Hooway for Wodney Wat,Helen Lester,English,"psycholinguistics, developmental psychology","speech disorders, bullying, alliteration, phonemes, word play, Useful for speech pathologist",,,,
our spot,Lindsay Ward,English,,"counting, descriptive language, family traditions, motion perception, perceptual grouping (similarity, proximity, good continuation), loss",,,,
Du iz tak?,Carson Ellis,Made-up language,"Psycholinguistics, Cognitive Psychology, Developmental Psych, Perception","statement versus question, stages of development, continuous development, repetition, word learning, phonetics, working together, problem-solving, emotions, motion perception",,,,
the paperboy,Dav Pilkey,English,"perception, ","perceptual grouping (similarity, proximity), Daily tasks/activities/routines, categories, relative size, foreground/background, shadows",Black main character where race isn't the primary focus of the book,,,
go dog go,PD Eastman,English," perception, psycholinguistics ","relative size, motion perception, Daily tasks/activities/routines, conversational routines, opposites, prepositions, adjectives, WH questions",lots of different parts of speech,,,
what makes us human,Victor D.O. Santos,English," perception, psycholinguistics ","relative size,Time, critical thinking, riddles, perceptual grouping and separation, braille,growth,Descriptive language, culture, diversity, linguistic relativity, language preservation, language disappearnce",,,,
the wolves in the walls,Neil Gaiman,English,"psycholinguistics, cognitive psychology","Daily tasks/activities/routines, descriptive language, parent-child interactions,Word learning,creative thinking/solutions, critical thinking/problem-solving",a little scary,,,
all about corduroy,Don Freeman,English,"perceptiion, developmental psychology, cognitive psychology","curiosity, categories, Reasoning and decision-making skills, bottom-up versus top-down processing, relative size, parent-child interactions, Daily tasks/activities/routines, perceptual grouping (similarity, proximity, good continuation, simplicity)",,,,
 love makes a family ,Sophie beer ,English ,"developmental psychology, perception","Different types of family, different definitions of love, Daily tasks/activities/routines, diversity, perceptual grouping (similarity, proximity, good continuation), motion perception. family activities","not my favorite; artwork is a bit simplistic, students may struggle a bit to come up with concepts",,,
Pinkalicious,Victoria Kann & Elizabeth Kann,English,"perceptiion, developmental psychology, cognitive psychology","foreground/background, Daily tasks/activities/routines, family activities,family interactions, motion perception, cause and effect, emotions, cognitiive development",,,,
the three snow bears,Jan Brett,English,,"relative size, family interactions, helping others, morality, cause and effect",Version of the Goldilocks story,,,
how to get your octopus to school,Becky Scharnhorst,English,"intro psych, developmental, perception","emotions, first day of school, perceptual grouping (simillarity, good continuation) and segregation, self-esteem",reminds me of if you give a mouse a cookie,,,
giant size butterfliees on my first day of school,Justin Roberts,English,"intro psych, developmental psychology","emotions, first day of school, rhyming, parent-child interactions, anxiety, changing thought patterrns","Character might be Hispanic, where race isn't the main topic of the book",,,
just help,Sonia have,English,"perception, social psychology, psycholinguistics, cognitive psychology","helping others, perceptual grouping, helping our soldiers,caring for the environment, working together, diversity, community, community support, paying it forward","could be a good book for the ""what's the message"" activity",,,
"Bitsy Bat, school star",Kaz Windness,English,"perception, intro psych, developmental psychology, abnormal psychology","perceptual grouping, emotions, anxiety, family relations, relative size, literal versus figurative language,being different, bullying, self-esteem, problem-solving, different perspectives, trying new things, different isn't bad or wrong, community, autism, Individual differences",,,,
the girl who thought in pictures: the story of Dr. Temple Grandin,Julia Finley Mosca,English,"intro psych, cognitive psychology, abnormal psychology, developmental psychology, Psycholinguistics","rhyming, autism, motion perception,different isn't bad or wrong, (ab)normality, bullying, acceptance, self acceptance, creative thinking/solutions, critical thinking/problem-solving",could be interesting for imageability discussions in Psycholinguistics,,,
Challah day,Charlotte Offsay,English,"psycholinguistics, perception, developmental psychology","family interactions, rhyming, motion perception, cooperation/working together, holidays, family traditions",,,,
Bee-bim Bop!,Linda Sue Park,"English, Korean","psycholinguistics, perception, developmental psychology, multicultural psychology","rhyming, Daily tasks/activities/routines, parent-child interaction, Family interactions, multiple generations, repetition, motion perception, culture, cultural food, perceptual grouping and segregation, visual attention, help others",,,,
Yenebi's drive to school,Sendy Santamaria,"English, Spanish","psycholinguistics, perception, developmental psychology, multicultural psychology","Word learning, Daily tasks/activities/routines, sibling relationships, cultural food, immigration, borders, patience, multilingual text",,,,
A family is a family is a family,Sara O'Leary,English,developmental psychology,"different types of family, motion perception, divorce, new baby, blended family, Same-sex parents, foster family",,,,
Stolen words,Melanie Florence,"English, Cree","psycholinguistics, perception, developmental psychology, multicultural psychology","culture, family interactions, multiple generations, emotions, trauma, help others, Memory, cultural memory, word learning, motion perception, perceptual grouping and segregation","could be a good book for the ""what's the message"" activity",,,
we move together,"Kelly Fritsch, Anne McGuire and Eduardo Trejos",English,"developmental psychology, perception, cognitive psychology, social psychology","diversity, contrast, movement perception, emotions, Daily tasks/activities/routines, helping others, problem-solving, (dis)abilities, individuals in wheelchairs, individuals with hearing aids, individuals who are blind, social justice, assistive devices, abless, disability justice, discrimination, accessibility, different communication styles",,,,
